year,name,committedTo,position,stars,stateProvince
2000,D.J. Williams,Miami,ILB,5,CA
2000,Brock Berlin,Florida,PRO,5,LA
2000,Charles Rogers,Michigan State,WR,5,MI
2000,Travis Johnson,Florida State,SDE,5,CA
2000,Marcus Houston,Colorado,RB,5,CO
2000,Kwame Harris,Stanford,OT,5,DE
2000,B.J. Johnson,Texas,WR,5,TX
2000,Bryant McFadden,Florida State,CB,5,FL
2000,Sam Maldonado,Ohio State,RB,5,NY
2000,Mike Munoz,Tennessee,OT,5,OH
2000,Willis McGahee,Miami,RB,5,FL
2000,Antonio Hall,Kentucky,OT,5,OH
2000,Darrell Lee,Florida,WDE,5,MO
2000,O.J. Owens,Tennessee,S,5,NC
2000,Jeff Smoker,Michigan State,PRO,5,PA
2000,Marco Cooper,Ohio State,OLB,5,MI
2000,Chance Mock,Texas,PRO,5,TX
2000,Roy Williams,Texas,WR,5,TX
2000,Matt Grootegoed,USC,OLB,5,CA
2000,Yohance Buchanan,Florida State,S,5,GA
2000,Mac Tyler,Alabama,DT,5,AL
2000,Jason Respert,Tennessee,OC,5,GA
2000,Casey Clausen,Tennessee,PRO,5,CA
2000,Albert Means,Alabama,SDE,5,TN
2000,Albert Hollis,Georgia,RB,5,CA
2000,Eric Moore,Florida State,OLB,5,FL
2000,Willie Dixon,Miami,WR,5,CA
2000,Cory Bailey,Florida,S,5,FL
2000,Sean Young,Tennessee,OG,5,GA
2000,Johnnie Morant,Syracuse,WR,5,NJ
2000,Wes Sims,Oklahoma,OG,5,OK
2000,Tyson Thompson,TCU,RB,5,TX
2000,Jason Campbell,Auburn,PRO,5,MS
2000,Antwan Odom,Alabama,SDE,5,AL
2000,Sloan Thomas,Texas,WR,5,TX
2000,Raymond Mann,Virginia,ILB,5,VA
2000,Alphonso Townsend,Ohio State,DT,5,OH
2000,Greg Jones,Florida State,RB,5,SC
2000,Paul Mociler,UCLA,OG,5,CA
2000,Chris Septak,Nebraska,TE,5,NE
2000,Eric Knott,Michigan State,TE,4,MI
2000,Harold James,Alabama,S,4,AR
2000,Chris Rix,Florida State,PRO,4,CA
2000,Teyo Johnson,Stanford,ATH,4,CA
2000,Chris McKelvy,Penn State,OT,4,PA
2000,Joe McGuire,USC,OT,4,CA
2000,Anthony Bryant,Alabama,SDE,4,AL
2000,Brock Edwards,Texas,TE,4,TX
2000,Carlos Perez,Florida,WR,4,NJ
2000,Adam Doiron,Texas,SDE,4,OK
2000,Tre Orr,Florida,S,4,FL
2000,Hobie Holiday,Georgia Tech,OLB,4,GA
2000,Shannon Snell,Florida,OG,4,FL
2000,Larry Stevens,Michigan,OLB,4,WA
2000,Sam Ruhe,Penn State,SDE,4,OH
2000,Amon Gordon,Stanford,OLB,4,CA
2000,Steve Lee,Texas,DT,4,LA
2000,Reggie Vickers,Florida,WR,4,FL
2000,Lawrence Richardson,Arkansas,CB,4,TX
2000,Greg Pauly,Notre Dame,DT,4,WI
2000,Tim Johnson,Penn State,ILB,4,NJ
2000,Terrell Suggs,Arizona State,ATH,4,AZ
2000,Chris Boggas,Kansas State,OT,4,TX
2000,Chad Mascoe,Florida State,ILB,4,MS
2000,Carlos Joseph,Miami,OT,4,FL
2000,Adrian Mayes,LSU,S,4,TX
2000,Tab Perry,UCLA,WR,4,CA
2000,Alex Holmes,USC,TE,4,CA
2000,Dan Dicks,Washington,OG,4,WA
2000,Jason Richenberger,Nebraska,ILB,4,MO
2000,Carl Walker,Miami,S,4,FL
2000,Jermelle Lewis,Iowa,RB,4,CT
2000,Vontez Duff,Notre Dame,RB,4,TX
2000,Adam Black,Texas A&M,CB,4,TX
2000,Craig Ochs,Colorado,PRO,4,CO
2000,Carlyle Holiday,Notre Dame,WR,4,TX
2000,Michael Boulware,Florida State,OLB,4,SC
2000,Justin Hinds,Boston College,SDE,4,NJ
2000,Tyrell Dortch,Michigan State,RB,4,NJ
2000,Karlton Neal,Tennessee,WDE,4,IL
2000,Sean Poole,Michigan State,OT,4,MI
2000,Rashad Baker,Tennessee,S,4,NJ
2000,Will Smith,Ohio State,WDE,4,NY
2000,Keith Kelly,Clemson,RB,4,SC
2000,Tony Johnson,Penn State,RB,4,PA
2000,Zac Wasserman,Penn State,PRO,4,CA
2000,Darius Jones,Wisconsin,ILB,4,WI
2000,Brooks Daniels,Alabama,OLB,4,FL
2000,Erik Noll,Penn State,OT,4,MD
2000,Quinn Sypniewski,Colorado,TE,4,IA
2000,Kelvin Kight,Florida,WR,4,GA
2000,Bo Mosley,Arkansas,CB,4,AR
2000,Andrew Walter,Arizona State,PRO,4,CO
2000,Brandon Sumner,Georgia Tech,PRO,4,FL
2000,Vince Wilfork,Miami,DT,4,FL
2000,Mike Goolsby,Notre Dame,ILB,4,IL
2000,Derron Parquet,LSU,RB,4,LA
2000,Diamond Ferri,Syracuse,RB,4,MA
2000,Alex Barron,Florida State,OT,4,SC
2000,Sean McHugh,Penn State,TE,4,OH
2000,Bennie Mills,Florida,DT,4,LA
2000,Ben Emanuel,UCLA,S,4,TX
2000,Willie Green,Florida,RB,4,FL
2000,Chris Kelley,Maryland,PRO,4,MD
2000,Robert Peace,Tennessee,ILB,4,LA
2000,Chris Young,Vanderbilt,WR,4,MS
2000,Ronnie Brown,Auburn,RB,4,GA
2000,Richard Johnson,Virginia Tech,WR,4,MD
2000,Stephen Williams,Indiana,SDE,4,IL
2000,John Rattay,Tennessee,PRO,4,AZ
2000,Tatum Bell,Oklahoma State,RB,4,TX
2000,Maurice Mitchell,Alabama,OT,4,GA
2000,Jason Peters,Arkansas,WDE,4,TX
2000,Cameron Wake,Penn State,WDE,4,MD
2000,Doug Buckles,Ole Miss,OG,4,MS
2000,Jason Witten,Tennessee,WDE,4,TN
2000,Lynn McGruder,Tennessee,DT,4,NV
2000,Dustin Picciotti,Pittsburgh,FB,4,PA
2000,Marcus White,Auburn,SDE,4,AL
2000,Nautyn McKay-Loescher,Alabama,WDE,4,OH
2001,Kevin Jones,Virginia Tech,RB,5,
2001,Brodie Croyle,Alabama,PRO,5,
2001,Roscoe Crosby,Clemson,WR,5,
2001,Reggie Williams,Washington,WR,5,
2001,Shaun Cody,USC,DT,5,
2001,Tommie Harris,Oklahoma,DT,5,
2001,Marcus Spears,LSU,DT,5,
2001,Marquise Hill,LSU,DT,5,
2001,Jabari Davis,Tennessee,RB,5,
2001,Michael Craven,Stanford,OLB,5,
2001,Leon Williams,Miami,ILB,5,
2001,Kelly Baraka,Michigan,RB,5,
2001,Ben Wilkerson,LSU,OC,5,
2001,Ahmad Carroll,Arkansas,CB,5,
2001,Dominic Robinson,Florida State,WR,5,
2001,Carnell Williams,Auburn,RB,5,
2001,Joe Mauer,Florida State,PRO,5,
2001,D.J. Shockley,Georgia,DUAL,5,
2001,Michael Clayton,LSU,WR,5,
2001,Chris Spencer,Ole Miss,OC,5,
2001,Ernest Shazor,Michigan,S,5,
2001,Eric Shelton,Florida State,RB,5,
2001,Cecil Howard,Syracuse,DUAL,5,
2001,Kevin Simon,Tennessee,OLB,5,
2001,Matt Ware,UCLA,CB,5,
2001,Anttaj Hawthorne,Wisconsin,DT,5,
2001,Mark LeVoir,Notre Dame,OT,5,
2001,Cedric Houston,Tennessee,RB,5,
2001,Patrick Estes,Virginia,TE,5,
2001,Jami Hightower,Texas A&M,OT,5,
2001,Cedric Benson,Texas,RB,5,
2001,Lorenzo Alexander,California,SDE,5,
2001,Marlin Jackson,Michigan,CB,5,
2001,Blake Larsen,Iowa,OT,5,
2001,Ron Lunford,Florida State,OT,5,
2001,Matt Roth,Iowa,OLB,5,
2001,Jerome Carter,Florida State,CB,5,
2001,Andrew Whitworth,LSU,OG,5,
2001,Lemarcus Rowell,Auburn,OLB,5,
2001,Airese Currie,Clemson,WR,5,
2001,Derrick Tinsley,Tennessee,RB,5,
2001,J.R. Lemon,Stanford,RB,5,
2001,Pierre Woods,Michigan,SDE,4,
2001,Craphonso Thorpe,Florida State,WR,4,
2001,Robert Boulware,Tennessee,CB,4,
2001,Derek Anderson,Oregon State,PRO,4,
2001,Charles Frederick,Washington,WR,4,
2001,De'Arrius Howard,Arkansas,RB,4,
2001,Tim Massaquoi,Michigan,WR,4,
2001,Lydell Ross,Ohio State,RB,4,
2001,Fred Gibson,Georgia,WR,4,
2001,Adrian McPherson,Florida State,DUAL,4,
2001,Antrel Rolle,Miami,CB,4,
2001,Gerard Ross,Florida State,CB,4,
2001,Orien Harris,Miami,DT,4,
2001,Corey Mays,Notre Dame,OLB,4,
2001,Pat Massey,Michigan,SDE,4,
2001,Matt Leinart,USC,PRO,4,
2001,Marvin Simmons,Kansas State,OLB,4,
2001,Reggie Arden,Ohio State,OLB,4,
2001,Seymore Shaw,Oklahoma,RB,4,
2001,Derrick Johnson,Texas,OLB,4,
2001,George Gause,South Carolina,SDE,4,
2001,Joseph Addai,LSU,RB,4,
2001,Kellen Clemens,Oregon,PRO,4,
2001,Mark Anderson,Stanford,DT,4,
2001,Damien Nash,Missouri,RB,4,
2001,Jonathan Scott,Texas,DT,4,
2001,Willie Jones,Florida State,OLB,4,
2001,Derron Johnson,Memphis,CB,4,
2001,Shawn Andrews,Arkansas,OG,4,
2001,Russell Lovett,Colorado,ATH,4,
2001,Maurice Hall,Ohio State,RB,4,
2001,Charles Rush,Penn State,DT,4,
2001,Robert Cleary,UCLA,OG,4,
2001,Marquis Elmore,Georgia,OLB,4,
2001,Brent Rawls,Oklahoma,PRO,4,
2001,Steven Jackson,Oregon State,RB,4,
2001,Jocques Dumas,North Carolina,SDE,4,
2001,Quan Cosby,Texas,ATH,4,
2001,Tyler Reed,Penn State,OG,4,
2001,Chauncey Davis,Florida State,OLB,4,
2001,Brett Bell,Wisconsin,CB,4,
2001,Jeb Huckeba,Arkansas,OLB,4,
2001,C.J. Fayton,Tennessee,WR,4,
2001,Montrell Jones,Tennessee,WR,4,
2001,Scott McClintock,Michigan,OLB,4,
2001,Brandon Jones,Oklahoma,WR,4,
2001,Casey Paus,Washington,PRO,4,
2001,Frank Gore,Miami,RB,4,
2001,Shyrone Carey,LSU,ATH,4,
2001,Carlos Campbell,Notre Dame,WR,4,
2001,Larry Fitzgerald,Pittsburgh,WR,4,
2001,Simon Fraser,Ohio State,SDE,4,
2001,Rudy Niswanger,LSU,OC,4,
2001,Titus Adams,Nebraska,SDE,4,
2001,David Underwood,Michigan,RB,4,
2001,Fred Lee,Virginia Tech,WR,4,
2001,Morris Virgil,Illinois,RB,4,
2001,Kyle Orton,Purdue,PRO,4,
2001,Angelo Chattams,Ohio State,WR,4,
2001,Bryan Randall,Virginia Tech,DUAL,4,
2001,Dustin Fox,Ohio State,S,4,
2001,Anthony Mix,Auburn,WR,4,
2001,Mike Bell,Arizona,RB,4,
2001,James Buchanan,Florida State,RB,4,
2001,Ayo Saba,Kansas State,FB,4,
2001,Brett Basanez,Northwestern,PRO,4,
2001,Lamar Baker,Arizona State,CB,4,
2001,Michael Robinson,Penn State,DUAL,4,
2001,Junior Taylor,UCLA,WR,4,
2001,Taye Biddle,Ole Miss,WR,4,
2001,Tramain Hall,NC State,CB,4,
2001,Wayne Dickens,Auburn,DT,4,
2001,Robert Strickland,Michigan State,WR,4,
2001,Zachary Giles,Notre Dame,OC,4,
2001,Thez Robinson,South Carolina,RB,4,
2001,Thomas Derricks,Northwestern,DT,4,
2001,Jerome Janet,Kansas State,WR,4,
2001,Clarence McDougal,Mississippi State,S,4,
2001,Justin Holland,Colorado State,PRO,4,
2001,Jonathan Jackson,Oklahoma,SDE,4,
2001,Ingle Martin,Florida,PRO,4,
2001,Brandon Brokaw,Boston College,RB,4,
2001,Nic Costa,Arizona,DUAL,4,
2001,Donta Hickson,Oklahoma,RB,4,
2001,Keith Carter,UCLA,TE,4,
2001,David Koral,Vanderbilt,PRO,4,
2001,Jeff Littlejohn,Middle Tennessee,DT,4,
2002,Vince Young,Texas,DUAL,5,TX
2002,Lorenzo Booker,Florida State,APB,5,CA
2002,Ryan Moore,Miami,WR,5,FL
2002,Chris Davis,Florida State,ATH,5,FL
2002,Ben Olson,BYU,PRO,5,CA
2002,Rodrique Wright,Texas,DT,5,TX
2002,Gerald Riggs Jr.,Tennessee,RB,5,TN
2002,Reggie McNeal,Texas A&M,ATH,5,TX
